day_coordinate,cam_angle_deg,pitch_radius_mm,surface_x_mm,surface_y_mm,surface_radius_mm,pressure_angle_deg,pitch_curvature_radius_mm
0.000000000,0.000000000,48.738455732,40.814457918,1.100117555,40.829281573,7.904057733,13.228653879
0.126736111,0.125000000,48.752919604,40.820737421,1.146711473,40.836840607,7.597114591,15.412817573
0.253472222,0.250000000,48.766870110,40.827859670,1.202473779,40.845563632,7.356329834,18.477161119
0.380208333,0.375000000,48.780432468,40.835776905,1.267446306,40.855441444,7.181849634,23.078744152
0.506944444,0.500000000,48.793731900,40.844471509,1.341657152,40.866500912,7.073755132,30.746934990
0.633680556,0.625000000,48.806893627,40.853956568,1.425122187,40.878805517,7.032067610,46.048709754
0.760416667,0.750000000,48.820042867,40.864276187,1.517846045,40.892455599,7.056751148,91.562695137
0.887152778,0.875000000,48.833304842,40.875505603,1.619822599,40.907588337,7.147712731,6509.495219023
1.013888889,1.000000000,48.846804736,40.887743311,1.730964791,40.924366729,7.304294581,inf
1.140625000,1.125000000,48.860631659,40.900311263,1.844276020,40.941871177,7.476067200,inf
1.267361111,1.250000000,48.874770482,40.912680737,1.955131530,40.959369922,7.629695525,inf
1.394097222,1.375000000,48.889187362,40.924814735,2.063539988,40.976806347,7.765233840,inf
1.520833333,1.500000000,48.903848457,40.936678611,2.169509186,40.994126723,7.882734146,373.971702242
1.647569444,1.625000000,48.918719922,40.948240044,2.273045972,41.011280164,7.982245664,179.145833867
1.774305556,1.750000000,48.933767916,40.959469007,2.374156185,41.028218569,8.063814386,117.923514349
1.901041667,1.875000000,48.948958595,40.970337750,2.472844617,41.044896587,8.127482689,87.958000702
2.027777778,2.000000000,48.964258192,40.980828927,2.569189632,41.061284379,8.173826812,74.313969282
2.154513889,2.125000000,48.979645506,40.991153822,2.665279319,41.077711785,8.217898190,78.648908288
2.281250000,2.250000000,48.995125924,41.001418699,2.762060952,41.094346521,8.266517644,83.507242638
2.407986111,2.375000000,49.010708209,41.011629430,2.859533956,41.111198997,8.319675683,88.989051925
2.534722222,2.500000000,49.026401126,41.021792032,2.957697748,41.128279778,8.377362383,95.221629359
2.661458333,2.625000000,49.042213440,41.031912665,3.056551735,41.145599588,8.439567369,102.369403672
2.788194444,2.750000000,49.058153915,41.041997631,3.156095315,41.163169305,8.506279801,110.648543362
2.914930556,2.875000000,49.074231317,41.052053375,3.256327877,41.180999958,8.577488352,120.349041324
3.041666667,3.000000000,49.090454342,41.062081964,3.357203861,41.199094565,8.652857855,126.580018465
3.168402778,3.125000000,49.106827484,41.072027220,3.458123848,41.217351207,8.728068679,122.873285298
3.295138889,3.250000000,49.123348641,41.081868656,3.558901098,41.235733403,8.801774648,119.387644886
3.421875000,3.375000000,49.140015136,41.091603939,3.659536243,41.254237598,8.873978586,116.103975658
3.548611111,3.500000000,49.156824289,41.101230747,3.760029892,41.272860256,8.944683350,113.005293359
3.675347222,3.625000000,49.173773423,41.110746773,3.860382635,41.291597866,9.013891823,110.076460624
3.802083333,3.750000000,49.190859859,41.120149725,3.960595041,41.310446941,9.081606914,107.303942650
3.928819444,3.875000000,49.208080919,41.129437322,4.060667658,41.329404015,9.147831555,104.675600652
4.055555556,4.000000000,49.225433968,41.138609276,4.160622221,41.348469747,9.212721206,103.359226002
4.182291667,4.125000000,49.242917713,41.147679482,4.260623862,41.367673883,9.277461919,103.588644042
4.309027778,4.250000000,49.260532440,41.156651111,4.360707639,41.387023350,9.342303250,103.817548473
4.435763889,4.375000000,49.278278523,41.165524204,4.460873780,41.406518543,9.407244187,104.045920672
4.562500000,4.500000000,49.296156339,41.174298802,4.561122512,41.426159856,9.472283714,104.273741961
4.689236111,4.625000000,49.314166261,41.182974943,4.661454069,41.445947682,9.537420813,104.500993617
4.815972222,4.750000000,49.332308667,41.191552664,4.761868682,41.465882412,9.602654461,104.727656875
4.942708333,4.875000000,49.350583931,41.200031997,4.862366585,41.485964438,9.667983633,104.953712932
5.069444444,5.000000000,49.368992405,41.208412194,4.962938882,41.506192284,9.733341682,104.757757403
5.196180556,5.125000000,49.387534012,41.216689150,5.063540354,41.526556628,9.798401231,104.219265334
5.322916667,5.250000000,49.406208293,41.224861743,5.164165088,41.547055573,9.863117722,103.687468750
5.449652778,5.375000000,49.425014779,41.232929361,5.264813390,41.567688458,9.927491309,103.162265864
5.576388889,5.500000000,49.443952998,41.240891390,5.365485561,41.588454623,9.991522158,102.643556695
5.703125000,5.625000000,49.463022481,41.248747213,5.466181897,41.609353410,10.055210444,102.131243039
5.829861111,5.750000000,49.482222756,41.256496215,5.566902693,41.630384162,10.118556353,101.625228428
5.956597222,5.875000000,49.501553354,41.264137776,5.667648240,41.651546226,10.181560082,101.125418099
6.083333333,6.000000000,49.521013813,41.271671533,5.768422121,41.672839655,10.244245495,100.747674062
6.210069444,6.125000000,49.540603795,41.279097790,5.869235666,41.694266293,10.306692036,100.433474900
6.336805556,6.250000000,49.560323041,41.286416152,5.970090036,41.715825938,10.368906050,100.121809316
6.463541667,6.375000000,49.580171293,41.293626152,6.070985495,41.737518202,10.430887468,99.812660331
6.590277778,6.500000000,49.600148294,41.300727324,6.171922303,41.759342696,10.492636225,99.506010976
6.717013889,6.625000000,49.620253787,41.307719200,6.272900721,41.781299034,10.554152265,99.201844287
6.843750000,6.750000000,49.640487514,41.314601310,6.373921004,41.803386829,10.615435540,98.900143318
6.970486111,6.875000000,49.660849217,41.321373182,6.474983410,41.825605696,10.676486008,98.600891140
7.097222222,7.000000000,49.681338636,41.328034254,6.576086898,41.847954958,10.737294369,98.267168121
7.223958333,7.125000000,49.701955468,41.334583821,6.677228743,41.870433522,10.797839275,97.925370912
7.350694444,7.250000000,49.722699397,41.341021355,6.778409078,41.893040905,10.858119941,97.586766394
7.477430556,7.375000000,49.743570101,41.347346331,6.879628153,41.915776649,10.918136445,97.251323980
7.604166667,7.500000000,49.764567263,41.353558224,6.980886215,41.938640299,10.977888872,96.919013341
7.730902778,7.625000000,49.785690563,41.359656507,7.082183507,41.961631398,11.037377313,96.589804405
7.857638889,7.750000000,49.806939681,41.365640653,7.183520272,41.984749494,11.096601869,96.263667357
7.984375000,7.875000000,49.828314300,41.371510131,7.284896747,42.007994134,11.155562646,95.940572642
8.111111111,8.000000000,49.849814098,41.377264398,7.386312935,42.031364810,11.214258071,95.614953845
8.237847222,8.125000000,49.871438751,41.382902893,7.487768695,42.054860978,11.272685604,95.291643142
8.364583333,8.250000000,49.893187929,41.388425078,7.589264256,42.078482177,11.330845353,94.971395203
8.491319444,8.375000000,49.915061306,41.393830409,7.690799844,42.102227948,11.388737465,94.654179496
8.618055556,8.500000000,49.937058554,41.399118345,7.792375686,42.126097832,11.446362097,94.339965783
8.744791667,8.625000000,49.959179345,41.404288340,7.893992004,42.150091373,11.503719410,94.028724117
8.871527778,8.750000000,49.981423350,41.409339850,7.995649017,42.174208114,11.560809574,93.720424839
