day_coordinate,cam_angle_deg,pitch_radius_mm,surface_x_mm,surface_y_mm,surface_radius_mm,pressure_angle_deg,pitch_curvature_radius_mm
0.000000000,0.000000000,93.979832869,85.994311446,-0.481090015,85.995657150,3.447633544,inf
0.126736111,0.125000000,93.967725169,85.981930254,-0.275255980,85.982370844,3.316689665,1389.580487968
0.253472222,0.250000000,93.956037329,85.969764156,-0.073492662,85.969795569,3.214580211,315.196138815
0.380208333,0.375000000,93.944665572,85.957714645,0.124196596,85.957804368,3.141339121,177.647705775
0.506944444,0.500000000,93.933506122,85.945689249,0.317808859,85.946276841,3.096993637,123.634465990
0.633680556,0.625000000,93.922455203,85.933601548,0.507341514,85.935099176,3.081565160,94.789601930
0.760416667,0.750000000,93.911409038,85.921371201,0.692792215,85.924164180,3.095069902,76.849368167
0.887152778,0.875000000,93.900263849,85.908923950,0.874158892,85.913371299,3.137519314,64.615588196
1.013888889,1.000000000,93.888915891,85.896189391,1.051470506,85.902624768,3.208699688,56.825872843
1.140625000,1.125000000,93.877291295,85.882898606,1.227782367,85.891674349,3.286660300,59.044735731
1.267361111,1.250000000,93.865402533,85.868910712,1.405119847,85.880406314,3.356838278,61.443619666
1.394097222,1.375000000,93.853277576,85.854242800,1.583480397,85.868844274,3.419233348,64.045571018
1.520833333,1.500000000,93.840944395,85.838912404,1.762861740,85.857012318,3.473844791,66.877756515
1.647569444,1.625000000,93.828430963,85.822937499,1.943261877,85.844935015,3.520671436,69.972424401
1.774305556,1.750000000,93.815765250,85.806336501,2.124679093,85.832637411,3.559711649,73.368147815
1.901041667,1.875000000,93.802975228,85.789128260,2.307111967,85.820145031,3.590963330,77.111452043
2.027777778,2.000000000,93.790088807,85.771335228,2.490526526,85.807486091,3.614660312,80.064290501
2.154513889,2.125000000,93.777123485,85.753059463,2.674003831,85.794740537,3.637405871,78.952737530
2.281250000,2.250000000,93.764074747,85.734338798,2.857125511,85.781932919,3.662200685,77.871057726
2.407986111,2.375000000,93.750935276,85.715168399,3.039890001,85.769056336,3.689045615,76.818072045
2.534722222,2.500000000,93.737697757,85.695543467,3.222295691,85.756103920,3.717941509,75.792662549
2.661458333,2.625000000,93.724354871,85.675459242,3.404340927,85.743068837,3.748889202,74.793768557
2.788194444,2.750000000,93.710899304,85.654911002,3.586024007,85.729944284,3.781889517,73.820383080
2.914930556,2.875000000,93.697323739,85.633894062,3.767343184,85.716723496,3.816943268,72.871549518
3.041666667,3.000000000,93.683620916,85.612401452,3.948316473,85.703398330,3.853908416,72.331626390
3.168402778,3.125000000,93.669787054,85.590399429,4.129206209,85.689945842,3.890880732,72.587231420
3.295138889,3.250000000,93.655823829,85.567879563,4.310093336,85.676361486,3.927264800,72.844614504
3.421875000,3.375000000,93.641733397,85.544843592,4.490976277,85.662647245,3.963060542,73.103799361
3.548611111,3.500000000,93.627517911,85.521293262,4.671853473,85.648805106,3.998267870,73.364810132
3.675347222,3.625000000,93.613179527,85.497230325,4.852723383,85.634837055,4.032886691,73.627671390
3.802083333,3.750000000,93.598720399,85.472656541,5.033584483,85.620745086,4.066916903,73.892408143
3.928819444,3.875000000,93.584142681,85.447573676,5.214435264,85.606531189,4.100358396,74.159045847
4.055555556,4.000000000,93.569448493,85.421984806,5.395264859,85.592198074,4.133278884,74.281706141
4.182291667,4.125000000,93.554638841,85.395901251,5.575998922,85.577752450,4.166205156,74.217949982
4.309027778,4.250000000,93.539713427,85.369325316,5.756620492,85.563195268,4.199248693,74.154163687
4.435763889,4.375000000,93.524671876,85.342257080,5.937127999,85.548526184,4.232409642,74.090347030
4.562500000,4.500000000,93.509513814,85.314696626,6.117519867,85.533744859,4.265688147,74.026499790
4.689236111,4.625000000,93.494238868,85.286644044,6.297794524,85.518850952,4.299084356,73.962621746
4.815972222,4.750000000,93.478846664,85.258099429,6.477950391,85.503844121,4.332598417,73.898712681
4.942708333,4.875000000,93.463336827,85.229062881,6.657985892,85.488724027,4.366230477,73.834772380
5.069444444,5.000000000,93.447709003,85.199533858,6.837903477,85.473490005,4.399951441,73.820420383
5.196180556,5.125000000,93.431963192,85.169509431,7.017721654,85.458140361,4.433615762,73.846932406
5.322916667,5.250000000,93.416099707,85.138989730,7.197441621,85.442675158,4.467203610,73.873360475
5.449652778,5.375000000,93.400118870,85.107975345,7.377061838,85.427094699,4.500715057,73.899704842
