date,sunrise_setting_min,daylight_min,sunrise_rack_mm,daylight_rack_mm,carrier_output_rack_mm,expected_sunset_angle_deg,actual_sunset_angle_deg,time_kinematic_error_deg,sunrise_azimuth_deg,sunset_azimuth_deg,azimuth_mirror_error_deg
2025-01-01,0.000000000,550.641386243,0.000000000,0.738455732,0.369227866,275.320693122,275.320693122,0.000000000,120.861259153,239.138740847,-0.047817485
2025-01-02,0.000000000,551.457691704,0.000000000,0.845309867,0.422654934,275.728845852,275.728845852,0.000000000,120.732830223,239.267169777,-0.052065529
2025-01-03,0.000000000,552.340713901,0.000000000,0.960897203,0.480448601,276.170356950,276.170356950,0.000000000,120.593526331,239.406473669,-0.056299094
2025-01-04,0.000000000,553.289585280,0.000000000,1.085104176,0.542552088,276.644792640,276.644792640,0.000000000,120.443440488,239.556559512,-0.060514908
2025-01-05,0.000000000,554.303391178,0.000000000,1.217811057,0.608905529,277.151695589,277.151695589,0.000000000,120.282673661,239.717326339,-0.064712148
2025-01-06,0.000000000,555.381147705,0.000000000,1.358889057,0.679444528,277.690573852,277.690573852,0.000000000,120.111334683,239.888665317,-0.068888915
2025-01-07,0.000000000,556.521824459,0.000000000,1.508203295,0.754101647,278.260912229,278.260912229,0.000000000,119.929538748,240.070461252,-0.073042525
2025-01-08,0.000000000,557.724317975,0.000000000,1.665609328,0.832804664,278.862158987,278.862158987,0.000000000,119.737410719,240.262589281,-0.077172341
2025-01-09,0.000000000,558.987490321,0.000000000,1.830958201,0.915479101,279.493745160,279.493745160,0.000000000,119.535079977,240.464920023,-0.081276129
2025-01-10,0.000000000,560.310177059,0.000000000,2.004097491,1.002048745,280.155088530,280.155088530,0.000000000,119.322680411,240.677319589,-0.085353281
2025-01-11,0.000000000,561.691159015,0.000000000,2.184867606,1.092433803,280.845579508,280.845579508,0.000000000,119.100351941,240.899648059,-0.089404423
2025-01-12,0.000000000,563.129228653,0.000000000,2.373110481,1.186555241,281.564614327,281.564614327,0.000000000,118.868233385,241.131766615,-0.093429033
2025-01-13,0.000000000,564.623164396,0.000000000,2.568666213,1.284333106,282.311582198,282.311582198,0.000000000,118.626464805,241.373535195,-0.097427529
2025-01-14,0.000000000,566.171740617,0.000000000,2.771374366,1.385687183,283.085870308,283.085870308,0.000000000,118.375186940,241.624813060,-0.101400713
2025-01-15,0.000000000,567.773724259,0.000000000,2.981073534,1.490536767,283.886862130,283.886862130,0.000000000,118.114540927,241.885459073,-0.105348245
2025-01-16,0.000000000,569.427876263,0.000000000,3.197601525,1.598800763,284.713938132,284.713938132,0.000000000,117.844669257,242.155330743,-0.109269736
2025-01-17,0.000000000,571.132946436,0.000000000,3.420794689,1.710397345,285.566473218,285.566473218,0.000000000,117.565716160,242.434283840,-0.113163184
2025-01-18,0.000000000,572.887655990,0.000000000,3.650485633,1.825242816,286.443827995,286.443827995,0.000000000,117.277831679,242.722168321,-0.117029236
2025-01-19,0.000000000,574.690732572,0.000000000,3.886507805,1.943253903,287.345366286,287.345366286,0.000000000,116.981165708,243.018834292,-0.120864980
2025-01-20,0.000000000,576.540866637,0.000000000,4.128689788,2.064344894,288.270433319,288.270433319,0.000000000,116.675875258,243.324124742,-0.124670393
2025-01-21,0.000000000,578.436755765,0.000000000,4.376861095,2.188430547,289.218377883,289.218377883,0.000000000,116.362117886,243.637882114,-0.128442882
2025-01-22,0.000000000,580.377083904,0.000000000,4.630849454,2.315424727,290.188541952,290.188541952,0.000000000,116.040055176,243.959944824,-0.132180516
2025-01-23,0.000000000,582.360515811,0.000000000,4.890480084,2.445240042,291.180257906,291.180257906,0.000000000,115.709854070,244.290145930,-0.135883917
2025-01-24,0.000000000,584.385732987,0.000000000,5.155580392,2.577790196,292.192866493,292.192866493,0.000000000,115.371680984,244.628319016,-0.139550263
2025-01-25,0.000000000,586.451389185,0.000000000,5.425974156,2.712987078,293.225694593,293.225694593,0.000000000,115.025707215,244.974292785,-0.143177077
2025-01-26,0.000000000,588.556150224,0.000000000,5.701486732,2.850743366,294.278075112,294.278075112,0.000000000,114.672107716,245.327892284,-0.146765140
2025-01-27,0.000000000,590.698678556,0.000000000,5.981943035,2.990971517,295.349339278,295.349339278,0.000000000,114.311057857,245.688942143,-0.150311330
2025-01-28,0.000000000,592.877632433,0.000000000,6.267167430,3.133583715,296.438816217,296.438816217,0.000000000,113.942737315,246.057262685,-0.153814778
2025-01-29,0.000000000,595.091705483,0.000000000,6.556988915,3.278494457,297.545852742,297.545852742,0.000000000,113.567324493,246.432675507,-0.157274784
2025-01-30,0.000000000,597.339589286,0.000000000,6.851236216,3.425618108,298.669794643,298.669794643,0.000000000,113.184999916,246.815000084,-0.160691325
2025-01-31,0.000000000,599.620023134,0.000000000,7.149744309,3.574872155,299.810011567,299.810011567,0.000000000,112.795941129,247.204058871,-0.164063572
2025-02-01,0.000000000,601.931747946,0.000000000,7.452348379,3.726174190,300.965873973,300.965873973,0.000000000,112.400327013,247.599672987,-0.167391611
2025-02-02,0.000000000,604.273560165,0.000000000,7.758890882,3.879445441,302.136780083,302.136780083,0.000000000,111.998333208,248.001666792,-0.170674058
2025-02-03,0.000000000,606.644246060,0.000000000,8.069212940,4.034606470,303.322123030,303.322123030,0.000000000,111.590138122,248.409861878,-0.173910611
2025-02-04,0.000000000,609.042628977,0.000000000,8.383160530,4.191580265,304.521314489,304.521314489,0.000000000,111.175918825,248.824081175,-0.177100375
2025-02-05,0.000000000,611.467544851,0.000000000,8.700581275,4.350290638,305.733772425,305.733772425,0.000000000,110.755852901,249.244147099,-0.180242616
2025-02-06,0.000000000,613.917881083,0.000000000,9.021329538,4.510664769,306.958940541,306.958940541,0.000000000,110.330114833,249.669885167,-0.183337214
2025-02-07,0.000000000,616.392532169,0.000000000,9.345260608,4.672630304,308.196266084,308.196266084,0.000000000,109.898878849,250.101121151,-0.186384756
2025-02-08,0.000000000,618.890452410,0.000000000,9.672237603,4.836118801,309.445226205,309.445226205,0.000000000,109.462314023,250.537685977,-0.189386691
2025-02-09,0.000000000,621.410636610,0.000000000,10.002128943,5.001064471,310.705318305,310.705318305,0.000000000,109.020584572,250.979415428,-0.192343444
2025-02-10,0.000000000,623.952127656,0.000000000,10.334809343,5.167404671,311.976063828,311.976063828,0.000000000,108.573850442,251.426149558,-0.195257437
