date,day_of_year,cam_angle_deg,sunrise_utc,sunset_utc,sunrise_min_utc,sunset_min_utc,daylight_min,sunrise_azimuth_deg,sunset_azimuth_deg,azimuth_mirror_error_deg
2025-01-01,1,0.000000000,2025-01-01T07:28:26.036509Z,2025-01-01T16:39:04.519683Z,448.433941817,999.075328050,550.641386243,120.861259153,239.186558332,0.047817486
2025-01-02,2,0.986301370,2025-01-02T07:28:30.012611Z,2025-01-02T16:39:57.474113Z,448.500210183,999.957901883,551.457691704,120.732830223,239.319235306,0.052065529
2025-01-03,3,1.972602740,2025-01-03T07:28:31.608003Z,2025-01-03T16:40:52.050837Z,448.526800050,1000.867513950,552.340713901,120.593526331,239.462772763,0.056299093
2025-01-04,4,2.958904110,2025-01-04T07:28:30.814002Z,2025-01-04T16:41:48.189119Z,448.513566700,1001.803151983,553.289585280,120.443440488,239.617074420,0.060514908
2025-01-05,5,3.945205479,2025-01-05T07:28:27.625519Z,2025-01-05T16:42:45.828990Z,448.460425317,1002.763816500,554.303391178,120.282673661,239.782038487,0.064712148
2025-01-06,6,4.931506849,2025-01-06T07:28:22.041381Z,2025-01-06T16:43:44.910243Z,448.367356350,1003.748504050,555.381147705,120.111334683,239.957554232,0.068888915
2025-01-07,7,5.917808219,2025-01-07T07:28:14.063813Z,2025-01-07T16:44:45.373281Z,448.234396883,1004.756221350,556.521824459,119.929538748,240.143503777,0.073042525
2025-01-08,8,6.904109589,2025-01-08T07:28:03.700014Z,2025-01-08T16:45:47.159093Z,448.061666900,1005.785984883,557.724317975,119.737410719,240.339761622,0.077172341
2025-01-09,9,7.890410959,2025-01-09T07:27:50.960098Z,2025-01-09T16:46:50.209517Z,447.849334967,1006.836825283,558.987490321,119.535079977,240.546196152,0.081276128
2025-01-10,10,8.876712329,2025-01-10T07:27:35.857387Z,2025-01-10T16:47:54.468011Z,447.597623117,1007.907800183,560.310177059,119.322680411,240.762672870,0.085353281
2025-01-11,11,9.863013699,2025-01-11T07:27:18.408814Z,2025-01-11T16:48:59.878355Z,447.306813567,1008.997972583,561.691159015,119.100351941,240.989052482,0.089404423
2025-01-12,12,10.849315068,2025-01-12T07:26:58.632312Z,2025-01-12T16:50:06.386032Z,446.977205200,1010.106433867,563.129228653,118.868233385,241.225195648,0.093429033
2025-01-13,13,11.835616438,2025-01-13T07:26:36.547695Z,2025-01-13T16:51:13.937559Z,446.609128250,1011.232292650,564.623164396,118.626464805,241.470962724,0.097427529
2025-01-14,14,12.821917808,2025-01-14T07:26:12.176054Z,2025-01-14T16:52:22.480491Z,446.202934233,1012.374674850,566.171740617,118.375186940,241.726213773,0.101400713
2025-01-15,15,13.808219178,2025-01-15T07:25:45.539297Z,2025-01-15T16:53:31.962752Z,445.758988283,1013.532712533,567.773724259,118.114540927,241.990807318,0.105348244
2025-01-16,16,14.794520548,2025-01-16T07:25:16.660263Z,2025-01-16T16:54:42.332839Z,445.277671050,1014.705547317,569.427876263,117.844669257,242.264600479,0.109269736
2025-01-17,17,15.780821918,2025-01-17T07:24:45.562447Z,2025-01-17T16:55:53.539233Z,444.759374117,1015.892320550,571.132946436,117.565716160,242.547447024,0.113163184
2025-01-18,18,16.767123288,2025-01-18T07:24:12.271128Z,2025-01-18T16:57:05.530488Z,444.204518800,1017.092174800,572.887655990,117.277831679,242.839197557,0.117029236
2025-01-19,19,17.753424658,2025-01-19T07:23:36.811320Z,2025-01-19T16:58:18.255274Z,443.613522000,1018.304254567,574.690732572,116.981165708,243.139699272,0.120864980
