date,sunrise_utc,sunset_utc,daylight_min,sunrise_azimuth_deg,sunset_azimuth_deg
2025-01-01,2025-01-01T07:28:25.966688Z,2025-01-01T16:39:04.438172Z,550.641191400,120.861254016,239.186492555
2025-01-02,2025-01-02T07:28:29.942903Z,2025-01-02T16:39:57.391627Z,551.457478733,120.732828679,239.319167137
2025-01-03,2025-01-03T07:28:31.538115Z,2025-01-03T16:40:51.967282Z,552.340486117,120.593527245,239.462702252
2025-01-04,2025-01-04T07:28:30.744049Z,2025-01-04T16:41:48.105167Z,553.289351967,120.443443293,239.617002826
2025-01-05,2025-01-05T07:28:27.555826Z,2025-01-05T16:42:45.745177Z,554.303155850,120.282677680,239.781966233
2025-01-06,2025-01-06T07:28:21.972262Z,2025-01-06T16:43:44.827224Z,555.380916033,120.111338977,239.957481945
2025-01-07,2025-01-07T07:28:13.995985Z,2025-01-07T16:44:45.291496Z,556.521591850,119.929543595,240.143431585
2025-01-08,2025-01-08T07:28:03.633506Z,2025-01-08T16:45:47.078812Z,557.724088433,119.737415387,240.339689549
2025-01-09,2025-01-09T07:27:50.895048Z,2025-01-09T16:46:50.130806Z,558.987262633,119.535084671,240.546124213
2025-01-10,2025-01-10T07:27:35.794049Z,2025-01-10T16:47:54.390196Z,560.309935783,119.322686717,240.762599596
2025-01-11,2025-01-11T07:27:18.346672Z,2025-01-11T16:48:59.800982Z,561.690905167,119.100359950,240.988977186
2025-01-12,2025-01-12T07:26:58.571156Z,2025-01-12T16:50:06.308448Z,563.128954867,118.868244232,241.225117510
2025-01-13,2025-01-13T07:26:36.487245Z,2025-01-13T16:51:13.859138Z,564.622864883,118.626479676,241.470881003
2025-01-14,2025-01-14T07:26:12.115914Z,2025-01-14T16:52:22.400722Z,566.171413467,118.375206317,241.726127998
2025-01-15,2025-01-15T07:25:45.479167Z,2025-01-15T16:53:31.881540Z,567.773372883,118.114564635,241.990717935
2025-01-16,2025-01-16T07:25:16.599878Z,2025-01-16T16:54:42.250253Z,569.427506250,117.844696608,242.264508234
2025-01-17,2025-01-17T07:24:45.501846Z,2025-01-17T16:55:53.455548Z,571.132561700,117.565746832,242.547353257
2025-01-18,2025-01-18T07:24:12.209819Z,2025-01-18T16:57:05.446108Z,572.887271483,117.277863325,242.839103667
2025-01-19,2025-01-19T07:23:36.749591Z,2025-01-19T16:58:18.170624Z,574.690350550,116.981197876,243.139606232
2025-01-20,2025-01-20T07:22:59.147898Z,2025-01-20T16:59:31.577788Z,576.540498167,116.675906051,243.448703929
2025-01-21,2025-01-21T07:22:19.432373Z,2025-01-21T17:00:45.616568Z,578.436403250,116.362146973,243.766236197
2025-01-22,2025-01-22T07:21:37.631599Z,2025-01-22T17:02:00.236231Z,580.376743867,116.040083062,244.092039200
2025-01-23,2025-01-23T07:20:53.774947Z,2025-01-23T17:03:15.386519Z,582.360192867,115.709879791,244.425946044
2025-01-24,2025-01-24T07:20:07.892571Z,2025-01-24T17:04:31.017565Z,584.385416567,115.371705516,244.767786917
2025-01-25,2025-01-25T07:19:20.015262Z,2025-01-25T17:05:47.080128Z,586.451081100,115.025731385,245.117389184
2025-01-26,2025-01-26T07:18:30.174444Z,2025-01-26T17:07:03.525240Z,588.555846600,114.672131231,245.474577534
2025-01-27,2025-01-27T07:17:38.401736Z,2025-01-27T17:08:20.304404Z,590.698377800,114.311081336,245.839174313
2025-01-28,2025-01-28T07:16:44.729045Z,2025-01-28T17:09:37.369643Z,592.877343300,113.942759900,246.211000183
2025-01-29,2025-01-29T07:15:49.188186Z,2025-01-29T17:10:54.673628Z,595.091424033,113.567346219,246.589875033
2025-01-30,2025-01-30T07:14:51.810893Z,2025-01-30T17:12:12.170258Z,597.339322750,113.185019742,246.975618901
2025-01-31,2025-01-31T07:13:52.629105Z,2025-01-31T17:13:29.815061Z,599.619765933,112.795959349,247.368052526
2025-02-01,2025-02-01T07:12:51.675163Z,2025-02-01T17:14:47.565523Z,601.931506000,112.400343120,247.766997348
2025-02-02,2025-02-02T07:11:48.982239Z,2025-02-02T17:16:05.381453Z,604.273320233,111.998348601,248.172275122
2025-02-03,2025-02-03T07:10:44.584798Z,2025-02-03T17:17:23.225294Z,606.644008267,111.590153217,248.583707574
2025-02-04,2025-02-04T07:09:38.518847Z,2025-02-04T17:18:41.062263Z,609.042390267,111.175934387,249.001116528
2025-02-05,2025-02-05T07:08:30.821856Z,2025-02-05T17:19:58.860456Z,611.467310000,110.755869057,249.424324610
2025-02-06,2025-02-06T07:07:21.532527Z,2025-02-06T17:21:16.590966Z,613.917640650,110.330132724,249.853156378
2025-02-07,2025-02-07T07:06:10.690468Z,2025-02-07T17:22:34.227923Z,616.392290917,109.898898240,250.287439532
2025-02-08,2025-02-08T07:04:58.335808Z,2025-02-08T17:23:51.748435Z,618.890210450,109.462334703,250.727005922
2025-02-09,2025-02-09T07:03:44.508847Z,2025-02-09T17:25:09.132468Z,621.410393683,109.020606672,251.171692172
2025-02-10,2025-02-10T07:02:29.249763Z,2025-02-10T17:26:26.362531Z,623.951879467,108.573873805,251.621339825
2025-02-11,2025-02-11T07:01:12.598329Z,2025-02-11T17:27:43.423366Z,626.513750617,108.122290989,252.075795006
2025-02-12,2025-02-12T06:59:54.593920Z,2025-02-12T17:29:00.301826Z,629.095131767,107.666008923,252.534907674
2025-02-13,2025-02-13T06:58:35.275608Z,2025-02-13T17:30:16.986349Z,631.695179017,107.205175046,252.998530588
2025-02-14,2025-02-14T06:57:14.681975Z,2025-02-14T17:31:33.466566Z,634.313076517,106.739934606,253.466518259
2025-02-15,2025-02-15T06:55:52.851184Z,2025-02-15T17:32:49.732996Z,636.948030200,106.270431634,253.938726053
2025-02-16,2025-02-16T06:54:29.821048Z,2025-02-16T17:34:05.777040Z,639.599266533,105.796809660,254.415009605
2025-02-17,2025-02-17T06:53:05.629166Z,2025-02-17T17:35:21.590751Z,642.266026417,105.319212141,254.895224495
