day_coordinate,cam_angle_deg,pitch_radius_mm,surface_x_mm,surface_y_mm,surface_radius_mm,pressure_angle_deg,pitch_curvature_radius_mm
0.000000000,0.000000000,48.733380212,40.808371228,1.092809499,40.823000806,7.851218999,13.289358415
0.126736111,0.125000000,48.747744671,40.814642843,1.139664125,40.830551119,7.546293909,15.479376793
0.253472222,0.250000000,48.761599292,40.821741437,1.195629170,40.839247092,7.307098066,18.549689536
0.380208333,0.375000000,48.775068435,40.829620188,1.260745586,40.849080334,7.133774219,23.155447473
0.506944444,0.500000000,48.788276458,40.838262053,1.335040874,40.860078091,7.026401393,30.818049989
0.633680556,0.625000000,48.801347722,40.847680309,1.418530554,40.872303771,6.984999962,46.062388985
0.760416667,0.750000000,48.814406585,40.857918868,1.511219145,40.885857182,7.009534239,91.045839910
0.887152778,0.875000000,48.827577408,40.869052380,1.613100627,40.900874514,7.099912569,3525.543785055
1.013888889,1.000000000,48.840984516,40.881178473,1.724088728,40.917517463,7.255483001,inf
1.140625000,1.125000000,48.854716404,40.893629130,1.837232203,40.934879084,7.426147382,inf
1.267361111,1.250000000,48.868758049,40.905883058,1.947936060,40.952237102,7.578788399,inf
1.394097222,1.375000000,48.883075839,40.917903625,2.056208810,40.969535410,7.713459380,inf
1.520833333,1.500000000,48.897636166,40.929656522,2.162058097,40.986720755,7.830211427,358.892135657
1.647569444,1.625000000,48.912405418,40.941109735,2.265490640,41.003742684,7.929092922,176.179963115
1.774305556,1.750000000,48.927349985,40.952233512,2.366512167,41.020553500,8.010149090,116.879444516
1.901041667,1.875000000,48.942436256,40.963000353,2.465127376,41.037108218,8.073421617,87.514019196
2.027777778,2.000000000,48.957630696,40.973393006,2.561414081,41.053377163,8.119482651,74.068206487
2.154513889,2.125000000,48.972912251,40.983619455,2.657447047,41.069685760,8.163286045,78.345915612
2.281250000,2.250000000,48.988286269,40.993784378,2.754167518,41.086199585,8.211608538,83.134675532
2.407986111,2.375000000,49.003761454,41.003893598,2.851574928,41.102928968,8.264440784,88.531107219
2.534722222,2.500000000,49.019346512,41.013953079,2.949668706,41.119884395,8.321773012,94.657789007
2.661458333,2.625000000,49.035050145,41.023968931,3.048448272,41.137076509,8.383595006,101.672598479
2.788194444,2.750000000,49.050881059,41.033947401,3.147913037,41.154516104,8.449896095,109.782401710
2.914930556,2.875000000,49.066847958,41.043894877,3.248062404,41.172214126,8.520665131,119.263648639
3.041666667,3.000000000,49.082959480,41.053813444,3.348851112,41.190173610,8.595569206,125.343150505
3.168402778,3.125000000,49.099220087,41.063647868,3.449683540,41.208293980,8.670316493,121.731549585
3.295138889,3.250000000,49.115627692,41.073377987,3.550374120,41.226539215,8.743569440,118.332083400
3.421875000,3.375000000,49.132179635,41.083001486,3.650923474,41.244905786,8.815330824,115.126678933
3.548611111,3.500000000,49.148873256,41.092516064,3.751332199,41.263390187,8.885603453,112.099253755
3.675347222,3.625000000,49.165705896,41.101919435,3.851600874,41.281988936,8.954390160,109.235449385
3.802083333,3.750000000,49.182674895,41.111209324,3.951730059,41.300698572,9.021693808,106.522406391
3.928819444,3.875000000,49.199777592,41.120383472,4.051720289,41.319515657,9.087517280,103.948573799
4.055555556,4.000000000,49.217011371,41.129441574,4.151593156,41.338440826,9.152015015,102.659518259
4.182291667,4.125000000,49.234374947,41.138397268,4.251512753,41.357503437,9.216365503,102.885958054
4.309027778,4.250000000,49.251868605,41.147253667,4.351513914,41.376710329,9.280816716,103.111908785
4.435763889,4.375000000,49.269492717,41.156010812,4.451596864,41.396061897,9.345367656,103.337352415
4.562500000,4.500000000,49.287247655,41.164668743,4.551761827,41.415558531,9.410017320,103.562270860
4.689236111,4.625000000,49.305133793,41.173227498,4.652009030,41.435200622,9.474764703,103.786645984
4.815972222,4.750000000,49.323151503,41.181687113,4.752338703,41.454988561,9.539608797,104.010459611
4.942708333,4.875000000,49.341301158,41.190047620,4.852751076,41.474922736,9.604548589,104.233693525
5.069444444,5.000000000,49.359583108,41.198308287,4.953237306,41.495001693,9.669517860,104.043157736
5.196180556,5.125000000,49.377997275,41.206465083,5.053752450,41.515216228,9.734191300,103.516678087
5.322916667,5.250000000,49.396543205,41.214516905,5.154290630,41.535564467,9.798524629,102.996653029
5.449652778,5.375000000,49.415220431,41.222463143,5.254852145,41.556045753,9.862517996,102.482986246
5.576388889,5.500000000,49.434028485,41.230303188,5.355437291,41.576659433,9.926171562,101.975583092
5.703125000,5.625000000,49.452966900,41.238036431,5.456046358,41.597404854,9.989485497,101.474350558
5.829861111,5.750000000,49.472035209,41.245662260,5.556679637,41.618281366,10.052459981,100.979197243
