day_coordinate,cam_angle_deg,pitch_radius_mm,surface_x_mm,surface_y_mm,surface_radius_mm,pressure_angle_deg,pitch_curvature_radius_mm
0.000000000,0.000000000,94.102881407,86.117399431,-0.481744347,86.118746870,3.452328361,inf
0.126736111,0.125000000,94.090741305,86.104983992,-0.275617279,86.105425108,3.321207565,1417.771178236
0.253472222,0.250000000,94.079022186,86.092784823,-0.073566478,86.092816254,3.218960160,316.614795337
0.380208333,0.375000000,94.067619997,86.080703121,0.124404700,86.080793017,3.145620202,178.094256268
0.506944444,0.500000000,94.056430683,86.068646129,0.318293311,86.069234673,3.101215021,123.848948762
0.633680556,0.625000000,94.045350190,86.056527164,0.508096731,86.058027108,3.085766090,94.914630717
0.760416667,0.750000000,94.034274464,86.044265633,0.693812611,86.047062845,3.099289668,76.930860985
0.887152778,0.875000000,94.023099449,86.031787045,0.875438874,86.036241057,3.141797232,64.672717203
1.013888889,1.000000000,94.011721122,86.019020774,1.053004523,86.025465726,3.213074785,56.869741557
1.140625000,1.125000000,94.000065417,86.005697219,1.229568998,86.014485955,3.291141791,59.092206175
1.267361111,1.250000000,93.988144839,85.991675167,1.407160408,86.003187722,3.361415604,61.495141526
1.394097222,1.375000000,93.975987434,85.976971762,1.585776197,85.991594702,3.423895956,64.101672669
1.520833333,1.500000000,93.963621248,85.961604594,1.765414082,85.979731049,3.478582129,66.939063056
1.647569444,1.625000000,93.951074327,85.945591698,1.946072059,85.967621398,3.525472952,70.039680866
1.774305556,1.750000000,93.938374719,85.928951546,2.127748410,85.955290861,3.564566790,73.442249377
1.901041667,1.875000000,93.925550469,85.911703048,2.310441710,85.942765033,3.595861540,77.193483811
2.027777778,2.000000000,93.912629562,85.893868726,2.494117940,85.930072205,3.619591351,80.152861626
2.154513889,2.125000000,93.899629544,85.875550876,2.677856921,85.917292531,3.642368458,79.038811203
2.281250000,2.250000000,93.886545886,85.856787412,2.861239717,85.904450627,3.667197612,77.954735035
2.407986111,2.375000000,93.873371252,85.837573486,3.044264760,85.891539571,3.694079674,76.899448793
2.534722222,2.500000000,93.860098306,85.817904284,3.226930437,85.878552478,3.723015494,75.871829599
2.661458333,2.625000000,93.846719714,85.797775030,3.409235091,85.865482494,3.754005909,74.870812145
2.788194444,2.750000000,93.833228138,85.777180986,3.591177014,85.852322801,3.787051746,73.895385108
2.914930556,2.875000000,93.819616243,85.756117453,3.772754459,85.839066612,3.822153817,72.944587825
3.041666667,3.000000000,93.805876749,85.734577441,3.953985462,85.825705765,3.859169892,72.403557093
3.168402778,3.125000000,93.792005865,85.712527134,4.135132710,85.812217255,3.896193160,72.659678995
3.295138889,3.250000000,93.778005273,85.689958083,4.316277255,85.798596525,3.932627395,72.917584358
3.421875000,3.375000000,93.763877133,85.666872033,4.497417516,85.784845563,3.968472519,73.177296991
3.548611111,3.500000000,93.749623604,85.643270735,4.678551932,85.770966360,4.003728446,73.438841129
3.675347222,3.625000000,93.735246849,85.619155946,4.859678958,85.756960910,4.038395081,73.702241437
3.802083333,3.750000000,93.720749026,85.594529432,5.040797067,85.742831209,4.072472323,73.967523024
3.928819444,3.875000000,93.706132296,85.569392964,5.221904748,85.728579257,4.105960061,74.234711442
4.055555556,4.000000000,93.691398784,85.543749625,5.402991118,85.714207766,4.138926102,74.357623291
4.182291667,4.125000000,93.676549499,85.517610761,5.583981729,85.699723466,4.171897948,74.293729435
4.309027778,4.250000000,93.661584143,85.490978680,5.764859599,85.685127309,4.204987231,74.229805466
4.435763889,4.375000000,93.646502338,85.463853462,5.945623151,85.670418951,4.238194098,74.165851160
4.562500000,4.500000000,93.631303712,85.436235190,6.126270810,85.655598051,4.271518695,74.101866293
4.689236111,4.625000000,93.615987888,85.408123954,6.306800997,85.640664268,4.304961168,74.037850647
4.815972222,4.750000000,93.600554492,85.379519849,6.487212133,85.625617259,4.338521666,73.973804002
4.942708333,4.875000000,93.585003149,85.350422975,6.667502637,85.610456683,4.372200337,73.909726145
5.069444444,5.000000000,93.569333503,85.320832788,6.847674962,85.595181874,4.405968047,73.895338987
5.196180556,5.125000000,93.553545554,85.290746355,7.027747638,85.579791135,4.439679054,73.921900151
5.322916667,5.250000000,93.537639615,85.260163806,7.207721865,85.564284527,4.473313501,73.948377153
5.449652778,5.375000000,93.521616011,85.229085731,7.387596099,85.548662355,4.506871460,73.974770249
5.576388889,5.500000000,93.505475066,85.197512730,7.567368803,85.532924924,4.540353001,74.001079694
5.703125000,5.625000000,93.489217104,85.165445404,7.747038438,85.517072538,4.573758194,74.027305746
5.829861111,5.750000000,93.472842449,85.132884360,7.926603475,85.501105502,4.607087110,74.053448663
5.956597222,5.875000000,93.456351426,85.099830210,8.106062383,85.485024122,4.640339816,74.079508705
6.083333333,6.000000000,93.439744351,85.066283841,8.285412157,85.468828827,4.673527167,74.090116828
6.210069444,6.125000000,93.423021436,85.032246726,8.464646303,85.452520269,4.706685419,74.092613717
6.336805556,6.250000000,93.406182830,84.997719448,8.643762890,85.436098625,4.739817586,74.094999374
6.463541667,6.375000000,93.389228677,84.962702517,8.822760389,85.419564035,4.772923757,74.097273900
